
 THE DARK QUEEN OF KRYNN

   HEXADECIMAL     DECIMAL
   OFFSET          OFFSET      LENGTH        DESCRIPTION

   000             000              1        ???                 
   001             001              1        ???                 
   002             002              1        ???                 
   003             003              1        ???                 
   004             004              1        ???                 
   005             005              1        ???                 
   006             006              1        ???                 
   007             007              1        ???                 
   008             008              1        number of items          
   009             009              1        ???                 
   00A             010              1        ???                 
   00B             011              1        ???                 
   00C             012              1        ???                 
   00D             013              1        ???                 
   00E             014              1        ???                 
   00F             015              1        ???                 
   010             016              1        ???                 
   011             017              1        ???                 
   012             018              1        ???                 
   013             019              1        ???                 
   014             020              1        ???                 
   015             021              1        ???                 
   016             022              1        ???                 
   017             023              1        ???                 
   018             024              1        ???                 
   019             025              1        ???                 
   01A             026              1        ???                 
   01B             027              1        ???                 
   01C             028              1        ???                 
   01D             029              1        ???                 
   01E             030              1        ???                 
   01F             031              1        ???                 
   020             032              1        ???                 
   021             033              1        ???                 
   022             034              1        ???                 
   023             035              1        ???                 
   024             036              1        ???                 
   025             037              1        ???                 
   026             038              1        ???                 
   027             039              1        ???                 
   028             040              1        ???                 
   029             041              1        ???                 
   02A             042              1        ???                 
   02B             043              1        ???                 
   02C             044              1        ???                 
   02D             045              1        ???                 
   02E             046              1        ???                 
   02F             047              1        ???                 
   030             048              1        ???                 
   031             049              1        ???                 
   032             050              1        ???                 
   033             051              1        ???                 
   034             052              1        ???                 
   035             053              1        ???                 
   036             054              1        ???                 
   037             055              1        ???                 
   038             056              1        ???                 
   039             057              1        ???                 
   03A             058              1        ???                 
   03B             059              1        ???                 
   03C             060              1        ???                 
   03D             061              1        ???                 
   03E             062              1        ???                 
   03F             063              1        ???                 
   040             064              1        in combat 1              
   041             065              1        in combat 2              
   042             066              1        in combat 3              
   043             067              1        ???                 
   044 - 047       068 - 071        4        experience               
   048             072              1        ???                 
   049             073              1        ???                 
   04A             074              1        ???                 
   04B             075              1        ???                 
   04C - 04D       076 - 077        2        coins steel              
   04E - 04F       078 - 079        2        gems                     
   050 - 051       080 - 081        2        jewelry                  
   052 - 053       082 - 083        2        age                      
   054             084              1        ???                 
   055             085              1        ???                 
   056 - 057       086 - 087        2        encumbrance              
   058             088              1        race                     
   059             089              1        ???                 
   05A             090              1        class                    
   05B             091              1        ???                 
   05C             092              1        ???                 
   05D             093              1        ???                 
   05E             094              1        ???                 
   05F             095              1        ???                 
   060             096              1        gender                   
   061             097              1        ???                 
   062             098              1        alignment                
   063             099              1        ???                 
   064             100              1        status                   
   065             101              1        ???                 
   066             102              1        ???                 
   067             103              1        ???                 
   068 - 076       104 - 118       15        name                     
   077             119              1        ???                 
   078             120              1        str original             
   079             121              1        str current              
   07A             122              1        int original             
   07B             123              1        int current              
   07C             124              1        wis original             
   07D             125              1        wis current              
   07E             126              1        dex original             
   07F             127              1        dex current              
   080             128              1        con original             
   081             129              1        con current              
   082             130              1        cha original             
   083             131              1        cha current              
   084             132              1        str exc original         
   085             133              1        str exc current          
   086             134              1        ???                 
   087             135              1        thac0 base               
   088             136              1        ???                 
   089             137              1        hit points maximum       
   08A             138              1        ???                 
   08B             139              1        save 1                   paralyzation, poison or death magic
   08C             140              1        save 2                   petrification or polymorph
   08D             141              1        save 3                   rod, staff or wand
   08E             142              1        save 4                   breath weapon
   08F             143              1        save 5                   spell
   090             144              1        movement base            
   091             145              1        level highest 1          
   092             146              1        ???                 
   093             147              1        thief 1                  pick pockets
   094             148              1        thief 2                  open locks
   095             149              1        thief 3                  find / remove traps
   096             150              1        thief 4                  move silently
   097             151              1        thief 5                  hide in shadows
   098             152              1        thief 6                  hear noise
   099             153              1        thief 7                  climb walls
   09A             154              1        thief 8                  read languages
   09B             155              1        npc                      
   09C             156              1        ???                 
   09D             157              1        ???                 
