
 MATRIX CUBED

   HEXADECIMAL     DECIMAL
   OFFSET          OFFSET      LENGTH        DESCRIPTION

   000             000              1        name length              
   001 - 00F       001 - 015       15        name                     
   010             016              1        str current              
   011             017              1        dex current              
   012             018              1        con current              
   013             019              1        int current              
   014             020              1        wis current              
   015             021              1        cha current              
   016             022              1        tch current              
   017             023              1        str original             
   018             024              1        dex original             
   019             025              1        con original             
   01A             026              1        int original             
   01B             027              1        wis original             
   01C             028              1        cha original             
   01D             029              1        tch original             
   01E             030              1        save 1                   explosion / plasma
   01F             031              1        save 2                   electrical shock
   020             032              1        save 3                   paralysis / stun / fall
   021             033              1        save 4                   toxic / gas / poison
   022             034              1        save 5                   suffocation
   023             035              1        save 6                   radiation
   024             036              1        save 7                   heat
   025             037              1        save 8                   cold
   026             038              1        gender                   
   027             039              1        race                     
   028             040              1        class                    
   029             041              1        level highest 1          
   02A             042              1        ???                 
   02B - 02C       043 - 044        2        coins credit             
   02D             045              1        ???                 
   02E             046              1        ???                 
   02F - 032       047 - 050        4        experience               
   033             051              1        thac0 base               
   034             052              1        ???                 
   035             053              1        ???                 
   036             054              1        movement base            
   037             055              1        ac base                  
   038             056              1        age                      
   039             057              1        ???                 
   03A             058              1        ???                 
   03B             059              1        attacks                  
   03C             060              1        attacks 2                
   03D             061              1        unarmed rolls            
   03E             062              1        unarmed rolls 2          
   03F             063              1        unarmed dice             
   040             064              1        unarmed dice 2           
   041             065              1        unarmed modifier         
   042             066              1        unarmed modifier 2       
   043             067              1        ???                 
   044             068              1        ???                 
   045             069              1        hit points maximum       
   046             070              1        ???                 
   047             071              1        ???                 
   048             072              1        ???                 
   049             073              1        ???                 
   04A             074              1        ???                 
   04B             075              1        ???                 
   04C             076              1        ???                 
   04D             077              1        ???                 
   04E             078              1        ???                 
   04F             079              1        ???                 
   050             080              1        ???                 
   051             081              1        ???                 
   052             082              1        ???                 
   053             083              1        ???                 
   054             084              1        ???                 
   055             085              1        ???                 
   056             086              1        ???                 
   057             087              1        ???                 
   058             088              1        ???                 
   059             089              1        ???                 
   05A             090              1        ???                 
   05B             091              1        ???                 
   05C             092              1        ???                 
   05D             093              1        ???                 
   05E             094              1        ???                 
   05F             095              1        ???                 
   060             096              1        ???                 
   061             097              1        ???                 
   062             098              1        ???                 
   063             099              1        ???                 
   064             100              1        ???                 
   065             101              1        ???                 
   066             102              1        ???                 
   067             103              1        ???                 
   068             104              1        ???                 
   069             105              1        ???                 
   06A             106              1        ???                 
   06B             107              1        ???                 
   06C             108              1        ???                 
   06D             109              1        ???                 
   06E             110              1        ???                 
   06F             111              1        ???                 
   070             112              1        ???                 
   071             113              1        ???                 
   072             114              1        ???                 
   073             115              1        ???                 
   074             116              1        ???                 
   075             117              1        ???                 
   076             118              1        ???                 
   077             119              1        ???                 
   078             120              1        ???                 
   079             121              1        ???                 
   07A             122              1        ???                 
   07B             123              1        ???                 
   07C             124              1        ???                 
   07D             125              1        ???                 
   07E             126              1        ???                 
   07F             127              1        ???                 
   080             128              1        ???                 
   081             129              1        ???                 
   082             130              1        ???                 
   083             131              1        ???                 
   084             132              1        ???                 
   085             133              1        ???                 
   086             134              1        ???                 
   087             135              1        ???                 
   088             136              1        ???                 
   089             137              1        ???                 
   08A             138              1        ???                 
   08B             139              1        ???                 
   08C             140              1        ???                 
   08D             141              1        ???                 
   08E             142              1        ???                 
   08F             143              1        ???                 
   090             144              1        ???                 
   091             145              1        ???                 
   092             146              1        ???                 
   093             147              1        ???                 
   094             148              1        ???                 
   095             149              1        ???                 
   096             150              1        ???                 
   097             151              1        ???                 
   098             152              1        ???                 
   099             153              1        ???                 
   09A             154              1        ???                 
   09B             155              1        ???                 
   09C             156              1        ???                 
   09D             157              1        ???                 
   09E             158              1        ???                 
   09F             159              1        ???                 
   0A0             160              1        ???                 
   0A1             161              1        ???                 
   0A2             162              1        ???                 
   0A3             163              1        ???                 
   0A4             164              1        ???                 
   0A5             165              1        ???                 
   0A6             166              1        ???                 
   0A7             167              1        ???                 
   0A8             168              1        ???                 
   0A9             169              1        ???                 
   0AA             170              1        ???                 
   0AB             171              1        ???                 
   0AC             172              1        ???                 
   0AD             173              1        ???                 
   0AE             174              1        ???                 
   0AF             175              1        ???                 
   0B0             176              1        ???                 
   0B1             177              1        ???                 
